ipu,device_iterations,micro_batch_size,image_size,precision,avg_latency_ms,avg_throughput_fps,min_latency_ms,max_latency_ms,std_latency_ms,min_throughput_fps,max_throughput_fps,std_throughput_fps
True,1,1,128,single,1.545,220.390,1.000,2.000,0.498,110.035,404.504,67.367
True,1,2,128,single,1.990,369.417,1.000,2.000,0.099,183.961,656.745,90.577
True,1,4,128,single,2.792,587.125,2.000,3.000,0.406,480.502,1010.919,160.545
True,1,8,128,single,4.366,1366.454,4.000,5.000,0.482,1326.419,1457.494,25.366
True,1,16,128,single,6.911,1894.795,6.000,7.000,0.285,1753.059,1932.748,23.286
True,1,1,224,single,2.861,116.234,2.000,5.000,0.581,80.186,137.352,8.479
True,1,2,224,single,4.347,152.009,3.000,5.000,0.496,63.878,218.807,32.033
True,1,4,224,single,6.356,208.686,5.000,7.000,0.499,140.811,353.517,47.456
True,1,1,320,single,4.564,75.587,4.000,6.000,0.515,54.596,102.303,11.612
True,1,2,320,single,5.950,209.602,5.000,10.000,0.552,91.250,281.497,31.408
False,1,1,128,single,25.554,42.801,21.218,251.462,22.738,3.976,47.046,4.948
False,1,2,128,single,25.502,85.566,20.667,245.163,22.117,8.156,96.594,9.907
False,1,4,128,single,23.745,180.433,20.899,177.517,15.725,22.526,191.041,21.823
False,1,8,128,single,24.913,349.204,20.933,232.874,20.935,34.346,381.456,40.234
False,1,16,128,single,28.015,644.296,22.426,243.562,25.162,65.675,711.834,93.897
False,1,32,128,single,28.016,1141.194,27.120,32.155,0.807,993.580,1178.227,32.172
False,1,1,224,single,24.272,44.495,20.941,207.816,18.548,4.810,47.668,5.209
False,1,2,224,single,24.642,87.649,20.697,210.522,18.800,9.497,96.453,10.192
False,1,4,224,single,24.535,175.258,21.060,195.221,17.347,20.483,189.594,20.862
False,1,8,224,single,24.810,348.198,21.079,185.684,16.915,43.070,378.825,44.367
False,1,16,224,single,37.336,453.489,34.276,227.443,20.237,70.329,466.270,50.511
False,1,32,224,single,63.718,502.796,63.076,97.917,3.424,326.439,506.830,17.706
False,1,1,320,single,23.793,45.291,20.642,194.657,17.398,5.136,48.354,5.249
False,1,2,320,single,24.740,87.543,20.862,205.445,18.470,9.732,95.695,10.943
False,1,4,320,single,24.417,176.380,20.637,189.229,16.940,21.132,193.359,21.680
False,1,8,320,single,36.163,235.282,33.067,226.655,20.483,35.287,241.653,27.494
False,1,16,320,single,64.537,254.639,61.646,241.372,19.315,66.271,259.378,23.705
False,1,32,320,single,124.239,257.603,123.617,155.165,3.099,206.128,258.781,5.166
