ipu,device_iterations,micro_batch_size,image_size,precision,avg_latency_ms,avg_throughput_fps,min_latency_ms,max_latency_ms,std_latency_ms,min_throughput_fps,max_throughput_fps,std_throughput_fps
True,1,1,64,half,0.861,530.715,0.000,1.000,0.346,508.093,603.758,14.947
True,1,1,96,half,0.921,523.075,0.000,1.000,0.270,500.454,595.443,13.836
True,1,1,128,half,1.040,483.633,1.000,2.000,0.195,394.387,575.508,18.569
True,1,1,160,half,1.149,458.628,1.000,2.000,0.356,362.547,545.140,16.064
True,1,1,192,half,1.238,437.005,1.000,2.000,0.426,421.877,487.766,9.745
True,1,1,224,half,1.376,403.311,1.000,2.000,0.484,232.500,454.519,28.359
True,1,1,256,half,1.564,367.934,1.000,2.000,0.496,354.878,416.143,10.372
True,1,1,288,half,1.673,355.043,1.000,2.000,0.469,342.896,393.536,7.732
True,1,1,320,half,1.851,328.241,1.000,3.000,0.382,227.210,365.198,15.033
True,1,1,352,half,2.109,309.133,2.000,3.000,0.312,298.039,338.059,5.664
True,1,1,384,half,2.267,289.576,2.000,3.000,0.443,275.687,314.864,5.766
True,1,1,416,half,2.545,267.920,2.000,3.000,0.498,249.973,293.863,5.992
True,1,1,448,half,2.743,251.565,2.000,3.000,0.437,240.761,289.083,5.670
True,1,1,480,half,2.990,236.525,2.000,3.000,0.099,222.027,252.897,4.655
True,1,1,512,half,3.178,220.459,3.000,4.000,0.383,122.461,238.733,10.651
True,1,1,544,half,3.554,205.002,3.000,4.000,0.497,196.390,220.185,4.140
True,1,1,576,half,3.465,206.241,3.000,4.000,0.499,112.400,221.980,10.505
True,1,1,608,half,4.129,182.028,3.000,7.000,0.460,116.680,204.112,10.950
True,1,1,640,half,4.089,180.665,4.000,5.000,0.285,137.442,191.521,5.399
True,1,1,672,half,4.347,165.686,4.000,5.000,0.476,132.146,180.369,5.789
True,1,1,704,half,4.535,159.764,4.000,6.000,0.518,118.259,171.336,6.781
True,1,1,736,half,4.782,153.691,4.000,6.000,0.436,113.630,163.994,6.482
True,1,1,768,half,5.228,141.922,5.000,6.000,0.419,136.943,154.949,4.008
True,1,1,800,half,5.723,133.726,5.000,7.000,0.469,103.458,143.312,4.930
True,1,1,832,half,5.990,125.107,5.000,6.000,0.099,95.555,133.318,4.644
True,1,1,864,half,6.347,120.749,6.000,11.000,0.667,77.274,129.490,5.938
True,1,1,896,half,6.564,115.331,6.000,7.000,0.496,109.406,127.386,3.699
True,1,1,928,half,6.941,110.882,6.000,9.000,0.340,90.262,118.363,4.369
True,1,1,960,half,7.317,103.317,7.000,8.000,0.465,95.046,111.284,3.589
True,1,1,992,half,7.812,101.979,7.000,9.000,0.415,93.323,108.450,2.883
True,1,1,1024,half,8.158,93.970,8.000,10.000,0.416,80.561,102.608,4.046
True,1,1,1056,half,8.267,93.994,8.000,9.000,0.443,84.316,100.328,3.055
True,1,1,1088,half,8.822,85.602,8.000,10.000,0.408,72.791,90.688,2.177
False,1,1,32,half,24.847,43.783,20.740,208.283,18.770,4.800,48.129,6.055
False,1,1,64,half,25.593,42.671,21.164,243.956,22.041,4.098,47.154,5.023
False,1,1,96,half,25.178,43.148,21.465,234.640,21.085,4.261,46.507,4.802
False,1,1,128,half,25.641,42.843,21.485,255.720,23.231,3.910,46.463,5.134
False,1,1,160,half,25.358,42.920,21.140,240.655,21.662,4.154,47.217,4.801
False,1,1,192,half,25.433,42.229,21.239,207.465,18.395,4.819,47.002,4.759
