ipu device_iterations micro_batch_size image_size precision avg_latency_ms
False 1 1 32 half 24.847
False 1 1 64 half 25.593
False 1 1 96 half 25.178
False 1 1 128 half 25.641
False 1 1 160 half 25.358
False 1 1 192 half 25.433
False 1 1 224 half 25.691
False 1 1 256 half 24.875
False 1 1 288 half 25.006
False 1 1 320 half 24.585
False 1 1 352 half 24.837
False 1 1 384 half 24.562
False 1 1 416 half 24.695
False 1 1 448 half 25.558
False 1 1 480 half 25.425
False 1 1 512 half 24.964
False 1 1 544 half 25.527
False 1 1 576 half 23.2
False 1 1 608 half 25.233
False 1 1 640 half 24.696
False 1 1 672 half 24.64
False 1 1 704 half 24.872
False 1 1 736 half 24.474
False 1 1 768 half 23.671
False 1 1 800 half 25.031
False 1 1 832 half 28.113
False 1 1 864 half 25.575
False 1 1 896 half 26.171
False 1 1 928 half 27.219
False 1 1 960 half 27.862
False 1 1 992 half 30.766
False 1 1 1024 half 29.617
False 1 1 1056 half 30.792
False 1 1 1088 half 31.754
False 1 1 1120 half 33.225
False 1 1 1152 half 33.616
False 1 1 1184 half 36.288
False 1 1 1216 half 37.0
False 1 1 1248 half 41.166
False 1 1 1280 half 39.428
