ipu device_iterations micro_batch_size image_size precision avg_latency_ms
True 1 1 64 half 0.861
True 1 1 96 half 0.921
True 1 1 128 half 1.04
True 1 1 160 half 1.149
True 1 1 192 half 1.238
True 1 1 224 half 1.376
True 1 1 256 half 1.564
True 1 1 288 half 1.673
True 1 1 320 half 1.851
True 1 1 352 half 2.109
True 1 1 384 half 2.267
True 1 1 416 half 2.545
True 1 1 448 half 2.743
True 1 1 480 half 2.99
True 1 1 512 half 3.178
True 1 1 544 half 3.554
True 1 1 576 half 3.465
True 1 1 608 half 4.129
True 1 1 640 half 4.089
True 1 1 672 half 4.347
True 1 1 704 half 4.535
True 1 1 736 half 4.782
True 1 1 768 half 5.228
True 1 1 800 half 5.723
True 1 1 832 half 5.99
True 1 1 864 half 6.347
True 1 1 896 half 6.564
True 1 1 928 half 6.941
True 1 1 960 half 7.317
True 1 1 992 half 7.812
True 1 1 1024 half 8.158
True 1 1 1056 half 8.267
True 1 1 1088 half 8.822
