ipu device_iterations micro_batch_size image_size precision avg_throughput_fps
False 1 1 32 half 43.783
False 1 1 64 half 42.671
False 1 1 96 half 43.148
False 1 1 128 half 42.843
False 1 1 160 half 42.92
False 1 1 192 half 42.229
False 1 1 224 half 42.81
False 1 1 256 half 43.184
False 1 1 288 half 43.653
False 1 1 320 half 44.499
False 1 1 352 half 43.954
False 1 1 384 half 44.641
False 1 1 416 half 43.963
False 1 1 448 half 42.747
False 1 1 480 half 43.129
False 1 1 512 half 43.783
False 1 1 544 half 42.704
False 1 1 576 half 45.849
False 1 1 608 half 43.315
False 1 1 640 half 44.367
False 1 1 672 half 43.681
False 1 1 704 half 43.221
False 1 1 736 half 44.138
False 1 1 768 half 44.886
False 1 1 800 half 43.491
False 1 1 832 half 42.964
False 1 1 864 half 42.315
False 1 1 896 half 43.843
False 1 1 928 half 42.057
False 1 1 960 half 38.987
False 1 1 992 half 36.997
False 1 1 1024 half 36.475
False 1 1 1056 half 34.34
False 1 1 1088 half 33.31
False 1 1 1120 half 31.902
False 1 1 1152 half 31.311
False 1 1 1184 half 29.366
False 1 1 1216 half 28.719
False 1 1 1248 half 27.073
False 1 1 1280 half 26.765
