ipu device_iterations micro_batch_size image_size precision avg_throughput_fps
True 1 1 64 half 530.715
True 1 1 96 half 523.075
True 1 1 128 half 483.633
True 1 1 160 half 458.628
True 1 1 192 half 437.005
True 1 1 224 half 403.311
True 1 1 256 half 367.934
True 1 1 288 half 355.043
True 1 1 320 half 328.241
True 1 1 352 half 309.133
True 1 1 384 half 289.576
True 1 1 416 half 267.92
True 1 1 448 half 251.565
True 1 1 480 half 236.525
True 1 1 512 half 220.459
True 1 1 544 half 205.002
True 1 1 576 half 206.241
True 1 1 608 half 182.028
True 1 1 640 half 180.665
True 1 1 672 half 165.686
True 1 1 704 half 159.764
True 1 1 736 half 153.691
True 1 1 768 half 141.922
True 1 1 800 half 133.726
True 1 1 832 half 125.107
True 1 1 864 half 120.749
True 1 1 896 half 115.331
True 1 1 928 half 110.882
True 1 1 960 half 103.317
True 1 1 992 half 101.979
True 1 1 1024 half 93.97
True 1 1 1056 half 93.994
True 1 1 1088 half 85.602
