image_size avg_latency_ms speedup
64 0.861 29.725
96 0.921 27.338
128 1.040 24.655
160	1.149 22.070
192	1.238 20.544
224	1.376 18.671
256	1.564 15.905
288	1.673 14.947
320	1.851 13.282
352	2.109 11.777
384	2.267 10.835
416	2.545 9.703
448	2.743 9.318
480	2.990 8.503
512	3.178 7.855
544	3.554 7.183
576	3.465 6.696
608	4.129 6.111
640	4.089 6.040
672	4.347 5.668
704	4.535 5.484
736	4.782 5.118
768	5.228 4.528
800	5.723 4.374
832	5.990 4.693
864	6.347 4.029
896	6.564 3.987
928	6.941 3.921
960	7.317 3.808
992	7.812 3.938
1024 8.158 3.630
1056 8.267 3.725
1088 8.822 3.599
