image_size avg_throughput_fps speedup
64 530.715 12.437
96 523.075 12.123
128 483.633	11.288
160 458.628	10.686
192	437.005	10.348
224	403.311	9.421
256	367.934	8.520
288	355.043	8.133
320	328.241	7.376
352	309.133	7.033
384	289.576	6.487
416	267.920	6.094
448	251.565	5.885
480	236.525	5.484
512	220.459	5.035
544	205.002	4.801
576	206.241	4.498
608	182.028	4.202
640	180.665	4.072
672	165.686	3.793
704	159.764	3.696
736	153.691	3.482
768	141.922	3.162
800	133.726	3.075
832	125.107	2.912
864	120.749	2.854
896	115.331	2.631
928	110.882	2.636
960	103.317	2.650
992	101.979	2.756
1024 93.970	2.576
1056 93.994	2.737
1088 85.602	2.570
